objectid,filename,title,format,publisher,creator,illustrator,date,language,source,subject,chapter-listings,longitude,publisher-digital,rights,rightsstatement,relation
coll001,wonderfulwizardo00baumiala.pdf,The Wonderful Wizard of Oz,application/pdf,George M. Hill Company,L. Frank Baum,W. W. Denslow,1900,English,https://archive.org/details/wonderfulwizardo00baumiala,"Dorothy Gale; Uncle Henry; Aunt Em; Toto; Wicked Witch of the East; Good Witch of the North; Wizard, of Oz; Boq; Scarecrow; Tin Woodman; Cowardly Lion; Jellia Jamb; Glinda, The Good Witch of the South, The Fieldmice; Kalidahs; Winged Monkies; Wicked Witch of the West; Quelala; Guardian of the Gates; The Emerald City of Oz; Munchkin Country; Winkie Country; Quadling Country; China Country; Kansas; Omby Amby","The Cyclone, The Council with the Munchkins, How Dorothy Saved the Scarecrow, The Road Through the Forest, The Rescue of the Tin Woodman, The Cowardly Lion, The Journey to the Great Oz, The Deadly Poppy Field, The Queen of the Field Mice, The Guardian of the Gate, The Wonderful City of Oz, The Search for the Wicked Witch, The Rescue, The Winged Monkeys, The Discovery of Oz the Terrible, The Magic Art of the Great Humbug, How the Balloon Was Launched, Away to the South, Attacked by the Fighting Trees, The Dainty China Country, The Lion Becomes the King of Beasts, The Country of the Quadlings, Glinda the Good Witch Grants Dorothy's Wish, Home Again",,,Public Domain; 1956,,
coll002,marvelouslandofo00baum.pdf,The Marvelous Land of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1904,English,https://archive.org/details/marvelouslandofo00baum/,Tip; Mombi; Jack Pumpkinhead; The Sawhorse; Guardian of the Gates; Omby Amby; Jinjur; Scarecrow; Jellia Jamb; Tin Woodman; H.M. Wogglebug T.E.; Queen of the Field Mice; The Gump; Glinda; Ozma; The Emerald City of Oz; Winkie Country; Quadling Country,"Tip Manufactures a Pumpkinhead, The Marvelous Powder of Life, The Flight of the Fugitives, Tip Makes an Experiment in Magic, The Awakening of the Saw-Horse, Jack Pumpkinhead's Ride to the Emerald City, His Majesty the Scarecrow, Gen. Jinjur's Army of Revolt, The Scarecrow Plans an Escape, The Journey to the Tin Woodman, A Nickel-Plated Emperor, Mr. H. M. Woggle-Bug, T. E., A Highly Magnified History, Old Mombi indulges in Witchcraft, The Prisoners of the Queen, The Scarecrow Takes Time to Think, The Astonishing Flight of the Gump, In the Jackdaw's Nest, Dr. Nikidik's Famous Wishing Pills, The Scarecrow Appeals to Glinda the Good, The Tin-Woodman Plucks a Rose, The Transformation of Old Mombi, Princess Ozma of Oz, The Riches of Content",,,Public Domain; 1960,,
coll003,ozmaofozrecordof00baum.pdf,Ozma of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1907,English,https://archive.org/details/ozmaofozrecordof00baum,Dorothy Gale; Billina; Tik-Tok; Nanda; Langwidere; Ozma; Scarecrow; The Hungry Tiger; The Cowardly Lion; The Sawhorse; Tin Woodman; Ruggedo; Kaliko; Queen of Ev; Evring; Evardo; Jinjur; Jack Pumpkinhead; Jellia Jamb; Omby Amby; Glinda; Uncle Henry; Australia; Deadly Desert; Nome Kingdom; The Emerald City of Oz,"The Girl in the Chicken Coop, The Yellow Hen, Letters in the Sand, Tiktok the Machine Man, Dorothy Opens the Dinner Pail, The Heads of Langwidere, Ozma of Oz to the Rescue, The Hungry Tiger, The Royal Family of Ev, The Giant with the Hammer, The Nome King, The Eleven Guesses, The Nome King Laughs, Dorothy Tries to be Brave, Billina Frightens the Nome King, Purple, Green, and Gold, The Scarecrow Wins the Fight, The Fate of the Tin Woodman, The King of Ev, The Emerald City, Dorothy's Magic Belt",,,Public Domain; 1983,,
coll004,dorothywizardino00baum2.pdf,Dorothy and the Wizard in Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1908,English,https://archive.org/details/dorothywizardino00baum2,Dorothy Gale; Zeb Hugson; Tik-Tok; Gump; Cowardly Lion; Hungry Tiger; Sawhorse; H.M. Wogglebug T.E.; Tin Woodman; Jim; Eureka; Wizard of Oz; Nine Tiny Piglets; Gwig; Ianu; Braided Man; Jellia Jamb; Omby Amby; Billina; Scarecrow; Australia; San Francisco; Land of the Mangaboos; Valley of Voe; Land of Naught; Emerald City of Oz; ,"The Earthquake, The Glass City, The Arrival Of The Wizard, The Vegetable Kingdom, Dorothy Picks the Princess, The Mangaboos Prove Dangerous, Into the Black Pit and Out Again, The Valley of Voices, They Fight the Invisible Bears, The Braided Man of Pyramid Mountain, They Meet the Wooden Gargoyles, A Wonderful Escape, The Den of the Dragonettes, Ozma Uses the Magic Belt, Old Friends are Reunited, Jim, The Cab-Horse, The Nine Tiny Piglets, The Trial of Eureka the Kitten, The Wizard Performs Another Trick, Zeb Returns to the Ranch",,,Public Domain; 1984,,
coll005,roadtoozinwhichi00baum.pdf,The Road to Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1909,English,https://archive.org/details/roadtoozinwhichi00baum,Dorothy Gale; Toto; Shaggy Man; Button-Bright; Polychrome; King Kik-a-bray; Glianda; Ozma; Allegro da Capo; Johnny Dooit; Tik-Tok; H.M. Wogglebug T.E.; John Dough; Billina; Tin Woodman; Jack Pumpkinhead; Cowardly Lion; Hungry Tiger; Wizard of Oz; Jellia Jamb; Scarecrow; Sawhorse; Santa Claus; Braided Man; Zixi; Good Witch of the North; Queen of Merryland; Kansas; Foxville; Dunkiton; Deadly Desert; The Emerald City of Oz,"The Way to Butterfield, Dorothy Meets Button-Bright, A Queer Village, King Dox, The Rainbow's Daughter, The City Of Beasts, The Shaggy Man's Transformation, The Musicker, Facing the Scoodlers, Escaping the Soup-Kettle, Johnny Dooit Does It, The Deadly Desert Crossed, The Truth Pond, Tik-Tok and Billina, The Emperor's Tin Castle, Visiting the Pumpkin-Field, The Royal Chariot Arrives, The Emerald City, The Shaggy Man's Welcome, Princess Ozma Of Oz, Dorothy Receives the Guests, Important Arrivals, The Grand Banquet, The Birthday Celebration",,,Public Domain; 1985,,
coll006,emeraldcityofoz00baum.pdf,The Emerald City of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1910,English,https://archive.org/details/emeraldcityofoz00baum,Ruggedo; Kaliko; Blug; Dorothy Gale; Toto; Glinda; Tik-Tok; Uncle Henry; Aunt Em; Ozma; Guph; Jack Pumpkinhead; Scarecrow; Tin Woodman; Zebra; Miss Cuttenclip; Billina; Chief of the Whimsies; Grand Gallipoot; Omby Amby; Wizard of Oz; Shaggy Man; Sawhorse; Deadly Desert; Nome Kingdom; Utensia; Bunbury; Bunnybury; Tin Palace; Winkie Country; Emerald City of Oz; ,"How the Nome King Became Angry, How Uncle Henry Got Into Trouble, How Ozma Granted Dorothy's Request, How The Nome King Planned Revenge, How Dorothy Became a Princess, How Guph Visited the Whimsies, How Aunt Em Conquered the Lion, How the Grand Gallipoot Joined The Nomes, How the Wogglebug Taught Athletics, How the Cuttenclips Lived, How the General Met the First and Foremost, How they Matched the Fuddles, How the General Talked to the King, How the Wizard Practiced Sorcery, How Dorothy Happened to Get Lost, How Dorothy Visited Utensia, How They Came to Bunbury, How Ozma Looked into the Magic Picture, How Bunnybury Welcomed the Strangers, How Dorothy Lunched With a King, How the King Changed His Mind, How the Wizard Found Dorothy, How They Encountered the Flutterbudgets, How the Tin Woodman Told the Sad News, How the Scarecrow Displayed His Wisdom, How Ozma Refused to Fight for Her Kingdom, How the Fierce Warriors Invaded Oz, How They Drank at the Forbidden Fountain, How Glinda Worked a Magic Spell, How the Story of Oz Came to an End",,,Public Domain; 1986,,
coll007,patchworkgirlofo00baum.pdf,The Patchwork Girl of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1913,English,https://archive.org/details/patchworkgirlofo00baum,Ojo; Unc Nunkie; Margolotte; Dr. Pipt; Glass Cat; Patchwork Girl; Victor Columbvia Edison; Foolish Owl; Wise Donkey; Woozy; Shaggy Man; Chiss; Scarecrow; Sawhorse; Omby Amby; Guardian of the Gates; Tollydiggle; Dorothy Gale; Toto; Ozma; Wizard of Oz; Jack Pumpkinhead; Yoop; Hip Hopper; Jack Horner; Diksey Horner; Tin Woodman; Munchkin Country; Emerald City of Oz; Winkie Country,"Ojo and Unc Nunkie, The Crooked Magician, The Patchwork Girl, The Glass Cat, A Terrible Accident, The Journey, The Troublesome Phonograph, The Foolish Owl and the Wise Donkey, They Meet the Woozy, Shaggy Man to the Rescue, A Good Friend, The Giant Porcupine, Scraps and the Scarecrow, Ojo Breaks the Law, Ozma's Prisoner, Princess Dorothy, Ozma and Her Friends, Ojo is Forgiven, Trouble with the Tottenhots, The Captive Yoop, Hip Hopper the Champion, The Joking Horners, Peace is Declared, Ojo Finds the Dark Well, They Bribe the Lazy Quadling, The Trick River, The Tin Woodman Objects, The Wonderful Wizard of Oz",,,Public Domain; 1989,,
coll008,tiktokofoz00baum.pdf,Tik-Tok of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1914,English,https://archive.org/details/tiktokofoz00baum/,Ann Soforth; Oogaboo; Glinda; Hank; Betsy Bobbin; Royal Gardener; Rose Kingdom; Shaggy Man; Ozga; Polychrome; Tik-Tok; Ruggedo; Kaliko; Long-Eared Hearer; Pang; Toto; Sawhorse; Cowardly Lion; Hungry Tiger; Ozma; Wizard of Oz; Dorothy Gale; Shaggy Man's Brother; Titi-Hoochoo; Queen of Light; Quox; Tubekins; Nome Kingdom; Jo Files; Rubber Country; Emerald City of Oz,"Ann's Army, Out of Oogaboo, Magic Mystifies the Marchers, Betsy Braves the Bellows, The Roses Repulse the Refugees, Shaggy Seeks His Stray Brother, Polychrome's Pitiful Plight, Tik-Tok Tackles a Tough Task, Ruggedo's Rage is Rash and Reckless, A Terrible Tumble Through a Tube, The Famous Fellowship of Fairies, The Lovely Lady of Light, The Jinjin's Just Judgment, The Long-Eared Hearer Learns by Listening, The Dragon Defies Danger, The Naughty Nome, A Tragic Transformation, A Clever Conquest, King Kaliko, Quox Quietly Quits, A Bashful Brother, Kindly Kisses, Ruggedo Reforms, Dorothy is Delighted, The Land of Love",,,Public Domain; 1990,,
coll009,scarecrowofozbyl00baum.pdf,The Scarecrow of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1915,English,https://archive.org/details/scarecrowofozbyl00baum/,"Trot; Cap'n Bill; Flipper; Pessim; Bumpy Man; Pon, Button-Bright; Gloria; King Krewl; Googly-Goo; Blinkie; Glinda; Scarecrow; Dorothy Gale; Betsy Bobbin; Ozma; Sawhorse; Tin Woodman; Jack Pumpkinhead; H.M. Wogglebug T.E.; Tik-Tok; Shaggy Man; Shaggy Man's Brother; Uncle Henry; Aunt Em; Cowardly Lion; Hungry Tiger; Eureka; Nine Tiny Piglets; Toto; Woozy; Wizard of Oz; Emerald City of Oz; California; Land of Mo; Deadly Desert; Jinxland; Glinda; Quadling Country; ","The Great Whirlpool, The Cavern Under the Sea, The Ork, Daylight at Last, The Little Old Man of the Island, The Flight of the Midgets, The Bumpy Man, Button-Bright is Lost, and Found Again, The Kingdom of Jinxland, Pon, the Gardener's Boy, The Wicked King and Googly-Goo, The Wooden-Legged Grasshopper, Glinda the Good and the Scarecrow of Oz, The Frozen Heart, Trot Meets the Scarecrow, Pon Summons the King to Surrender, The Ork Rescues Button-Bright, The Scarecrow Meets an Enemy, The Conquest of the Witch, Queen Gloria, Dorothy, Betsy and Ozma, The Waterfall, The Land of Oz, The Royal Reception",,,Public Domain; 1991,,
coll010,rinkitinkinoz00baum.pdf,Rinkitink in Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1916,English,https://archive.org/details/rinkitinkinoz00baum/,King Kitticut; Queen Garee; Inga; King Rinkitink; Bilbil; Gos; Cor; Buzzub; Nikobob; Zella; Choggenmugger; kaliko; Long-Eared Hearer; Lookout; Klik; Pinkerbloo; Nome Kingdom; Ozma; Dorothy Gale; Emerald City of Oz; Boboland; Glinda; Pingaree; Rinkitink (location); Wizard of Oz; Ruggedo,"The Prince of Pingaree, The Coming of King Rinkitink, The Warriors from the North, The Deserted Island, The Three Pearls, The Magic Boat, The Twin Islands, Rinkitink Makes a Great Mistake, A Present for Zella, The Cunning of Queen Cor, Zella Goes to Coregos, The Excitement of Bilbil the Goat, Zella Saves the Prince, The Escape, The Flight of the Rulers, Nikobob Refuses a Crown, The Nome King, Inga Parts With His Pink Pearl, Rinkitink Chuckles, Dorothy to the Rescue, The Wizard Finds an Enchantment, Ozma's Banquet, The Pearl Kingdom, The Captive King",,,Public Domain; 1992,,
coll011,lostprincessofoz00baum.pdf,The Lost Princess of Oz,application/pdf,Reilly & Britton,L. Frank Baum,John R. Neill,1917,English,https://archive.org/details/lostprincessofoz00baum,Dorothy Gale; Betsy Bobbin; Trot; Button-Bright; Wizard of Oz; Patchwork Girl; Cowardly Lion; Woozy; Ugu the Shoemaker; Jellia Jamb; Ozma; Glinda; Ojo; Cap'n Bill; Sawhorse; Toto; Frogman; Cayke; Lavender Bear; Scarecrow; Tin Woodman; Quadling Country; Emerald City of Oz; Winkie Country; Unc Nunkie; Dr. Pipt; Munchkin Country; Quadling Country; Gillikin Country; Tik-Tok; Jack Pumpkinhead; Shaggy Man; Winkie Country; Thi; Herku; Merry-Go-Round Mountains; Cowardly Lion,"A Terrible Loss, The Troubles of Glinda the Good, Of Cayke the Cookie Cook, Among the Winkies, Ozma's Friends Are Perplexed, The Search Party, The Merry-Go-Round Mountains, The Mysterious City, The High Coco-Lorum of Thi, Toto Loses Something, Button-Bright Loses Himself, Czarover of Herku, Truth Pond, The Unhappy Ferryman, The Big Lavender Bear, The Little Pink Bear, The Meeting, The Conference, Ugu the Shoemaker, More Surprises, Magic Against Magic, In the Wicker Castle, The Defiance of Ugu the Shoemaker, The Little Pink Bear Speaks Truly, Ozma of Oz, Dorothy Forgives",,,Public Domain; 1993,,
coll012,tinwoodmanofozil0000unse.pdf,The Tin Woodman of Oz,application/pdf,Reilly & Lee,L. Frank Baum,John R. Neill,1918,English,https://archive.org/details/tinwoodmanofozil0000unse,Woot the Wanderer; Tin Woodman; Scarecrow; Polychrome; Captain Fyter; Mrs. Yoop; Hip-po-gy-raf; jaguar; Loons; Tommy Kwikstep; Jinjur; Ozma; Dorothy Gale; Toto; Ku-Klip; Professor Grunter Swyne; Mrs. Squealina Swyne; Nimmie Amee; Chopfyt; Betsy Bobbin; Trot; Glinda; Tin Castle; Winkie Country; Scarecrow; Wicked Witch of the East; Wizard of Oz; Loonville; Polychrome; Emerald City of Oz; Gillikin Country,"Woot the Wanderer, The Heart of the Tin Woodman, Roundabout, The Loons of Loonville, Mrs. Yoop, the Giantess, The Magic of a Yookoohoo, The Lace Apron, The Menace of the Forest, The Quarrelsome Dragons, Tommy Kwikstep, Jinjur's Ranch, Ozma and Dorothy, The Restoration, The Green Monkey, The Man of Tin, Captain Fyter, The Workshop of Ku-Klip, The Tin Woodman Talks to Himself, The Invisible Country, Over Night, Polychrome's Magic, Nimmie Amee, Through the Tunnel, The Curtain Falls",,,Public Domain; 1994,,
coll013,magicofozfaithfu0000lfra.pdf,The Magic of Oz,application/pdf,Reilly & Lee,L. Frank Baum,John R. Neill,1919,English,https://archive.org/details/magicofozfaithfu0000lfra,Bini Aru; Mopsi Aru; Kiki Aru; Ozma; Glinda; Wizard of Oz; Ruggedo; Dorothy Gale; Trot; Cap'n Bill; Glass Cat; Dr. Pipt; Margolotte; Patchwork Girl; Tin Woodman; Scarecrow; Eureka; Toto; Sawhorse; Cowardly Lion; Hungry Tiger; Gugu; Forest of Gugu; Kalidah; Lonesome Duck; H.M. Wogglebug T.E.; Betsy Bobbin; Tik-Tok; Aunt Em; Uncle Henry; Shaggy Man; Button-Bright; Ojo; Frogman; Jinjur; Captain Fyter; Shaggy Man's Brother; Jack Pumpkinhead; Hank; Billina; Mount Munch; Munchkin Country; Land of Ev; Deadly Desert; Nome Kingdom; Emerald City of Oz; Gillikin Country,"Mount Munch, The Hawk, Two Bad Ones, Conspirators, A Happy Corner of Oz, Ozma's Birthday Presents, The Forest of Gugu, The Li-Mon-Eags Make Trouble, The Isle of the Magic Flower, Stuck Fast, The Beasts of the Forest of Gugu, Kiki Uses His Magic, The Loss of the Black Bag, The Wizard Learns the Magic Word, The Lonesome Duck, The Glass Cat Finds the Black Bag, A Remarkable Journey, The Magic of the Wizard, Dorothy and the Bumble Bees, The Monkeys Have Trouble, The College of Athletic Arts, Ozma's Birthday Party, The Fountain of Oblivion",,,Public Domain; 1995,,
